Pdis,Psuc,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,CprPower,Density,Tamb,Tset,target
9.106618097057,2.54817709276145,-3.77453002098468,35.9527232768479,59.3922113375594,14.0830096254888,8.80281354526579,12.5773438389464,3.99886628224152,99.4747030760878,3773.52143331425,5.66014334001756,10,4,0
9.10670739947893,2.54813409026972,-3.77498000437663,35.9530793511788,59.3937507902781,14.0834024845631,8.80304368156357,12.5780251564682,3.99895747643916,99.4786594575424,3773.82405249842,5.66004496859649,10,4,0
9.10661464194753,2.5481796215592,-3.7745035109545,35.9527094970002,59.3921390677958,14.0830028480788,8.80281025221382,12.5773140000682,3.9988706848589,99.4745499666686,3773.50843568807,5.66014901816818,10,4,0
9.10667960817299,2.54814276085721,-3.77488953823223,35.9529685574972,59.3933409260551,14.0832343462938,8.80294149836664,12.577832077048,3.998885895532,99.4774284166359,3773.73689906352,5.66006538423157,10,4,0
9.10669669331245,2.54813690060643,-3.77495072810467,35.9530366716849,59.3936006793933,14.0833325529784,8.803000880421,12.5779529069168,3.9989250432447,99.4781852409428,3773.79126767619,5.66005168661353,10,4,0
9.10660942714906,2.54818355989932,-3.7744622198731,35.9526886986036,59.392028204179,14.0829938030076,8.80280607085376,12.5772684750938,3.99887844479485,99.4743188733733,3773.48863710474,5.66015785143218,10,4,0
9.10661385194259,2.54818020877086,-3.77449735473488,35.9527063462269,59.3921224111205,14.0830013861174,8.80280955767779,12.5773071412385,3.99887177408107,99.474514958077,3773.50545038038,5.66015033595988,10,4,0
9.10668991262287,2.5481390271831,-3.77492853911565,35.9530096395365,59.3935005157023,14.0832916373716,8.80297602092753,12.5779057536395,3.99890767999506,99.4778848837389,3773.76998696392,5.66005669171188,10,4,0
9.1067091477815,2.54813369625302,-3.77498410230345,35.9530863204336,59.3937743498631,14.0834145362201,8.80305109188004,12.5780366936143,3.99896336777181,99.4787368937068,3773.82930948897,5.6600440120313,10,4,0
9.10659547397823,2.54819482504505,-3.77434408590244,35.9526330458175,59.3917208819283,14.0829766824342,8.80279960044487,12.5771437391028,3.99890587655295,99.4737005090839,3773.43457830537,5.66018306073251,10,4,0
9.10673019524719,2.54813043977793,-3.77501779243323,35.9531702162251,59.3940361401686,14.083574099933,8.80314994594983,12.5781696040141,3.99904792368989,99.4796690691683,3773.89038154091,5.66003571445527,10,4,0
9.10666701489561,2.54814812783336,-3.77483341647286,35.9529183471925,59.3931340781038,14.0831721578158,8.80290452257577,12.5777388020996,3.99886664339186,99.4768705243606,3773.69526338661,5.66007774755882,10,4,0
9.10660635685848,2.54818594742653,-3.7744371856715,35.9526764529737,59.391961921249,14.0829891470944,8.80280405504988,12.5772413950041,3.99888364406411,99.4741828108191,3773.47687790479,5.66016320098682,10,4,0
9.10670357393512,2.5481350164621,-3.77497036393504,35.9530641011762,59.3936982980758,14.0833767370918,8.80302788191926,12.5779996539215,3.99894517228057,99.4784900130684,3773.81245401652,5.66004720027186,10,4,0
9.10661543470057,2.54817903567764,-3.7745096531076,35.952712658721,59.3921557328614,14.0830043479617,8.80281097104171,12.5773208691929,3.99886962276986,99.4745850969,3773.51142635392,5.66014770309202,10,4,0
9.10661097876763,2.54818237274635,-3.77447466698902,35.9526948870468,59.3920614159675,14.0829963450116,8.80280721552981,12.577282082328,3.99887599531286,99.4743876338532,3773.49455085521,5.66015518998403,10,4,0
9.10658494870751,2.54820403747179,-3.77424745443221,35.9525910626282,59.3914785593159,14.082970726519,8.80279935560122,12.5770467723245,3.99893312238589,99.4732340292021,3773.39273504625,5.66020362386377,10,4,0
9.10672261902488,2.54813128958237,-3.77500905708587,35.9531400184169,59.3939466410642,14.0835135251315,8.80311227205561,12.5781230589918,3.99901453176375,99.4793335379661,3773.86887849528,5.66003800349057,10,4,0
9.10663045497938,2.54816857034644,-3.77461934446114,35.9527725613543,59.3924621511919,14.0830389518992,8.80282871161427,12.5774484632064,3.99885532445296,99.4752506817141,3773.56714353013,5.66012416145123,10,4,0
9.10660584941163,2.54818634695795,-3.77443299625071,35.9526744290402,59.3919508938225,14.0829884255695,8.8028037538553,12.5772368994772,3.99888454857285,99.4741603226689,3773.47492703956,5.66016409581078,10,4,0
9.1065860882126,2.54820300983684,-3.77425823447925,35.952595608,59.3915052386265,14.0829710767244,8.80279918583642,12.5770573920272,3.99892989520242,99.4732845333336,3773.3973102486,5.66020133212438,10,4,0
9.10658585971502,2.54820321530711,-3.77425607908259,35.9525946965483,59.3914998975334,14.0829710007105,8.80279921602119,12.577055264919,3.99893053687634,99.4732744060918,3773.39639369908,5.66020179038491,10,4,0
9.10664078356252,2.54816207125165,-3.7746874371939,35.9528137502728,59.3926626127025,14.0830695361345,8.80284543372312,12.5775333980351,3.99885188549865,99.4757083363646,3773.60441773206,5.66010948238935,10,4,0
9.10661943968282,2.54817612735917,-3.77454014090904,35.952728631512,59.3922391672933,14.0830124272352,8.80281493690944,12.5773553646363,3.99886472972645,99.4747625723556,3773.52645834638,5.66014117090708,10,4,0
9.10670635330609,2.54813433485174,-3.77497745957214,35.9530751807885,59.3937365630565,14.0833953586521,8.80303930438049,12.578018217293,3.99895403182234,99.4786131198718,3773.82089362844,5.66004556005538,10,4,0
9.10659284491527,2.54819706781394,-3.77432056271692,35.9526225592358,59.3916612105538,14.0829746265682,8.8027991607629,12.5771197529183,3.99891214710038,99.473583991509,3773.4242134235,5.6601880707938,10,4,0
