Pdis,Psuc,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,CprPower,Density,Tamb,Tset,target,setpoint
9.10673346886419,2.54813018851661,-3.77502034724137,35.9531832639847,59.3940731094317,14.0836014022651,8.80316697616871,12.5781892491408,3.99906341469983,99.4798140442747,3773.89950007806,5.66003497629369,10,4,0,0
9.10673310436609,2.54813021297948,-3.77502009974324,35.9531818112065,59.394069044718,14.0835983281086,8.80316505717303,12.578187075912,3.99906165766043,99.4797979022944,3773.89849001737,5.66003505087918,10,4,0,0
9.10673274005703,2.54813023831278,-3.77501984308287,35.9531803591781,59.3940649691439,14.0835952641424,8.80316314489812,12.5781849002559,3.99905990962679,99.4797817686459,3773.89747916466,5.6600351273373,10,4,0,0
9.10673237593772,2.54813026451364,-3.7750195772901,35.9531789079028,59.3940608827584,14.0835922103457,8.8031612393296,12.5781827221882,3.99905817057692,99.4797656433649,3773.89646752625,5.66003520566181,10,4,0,0
9.1067320120089,2.54813029157919,-3.77501930239515,35.9531774573833,59.394056785612,14.0835891666969,8.80315934045313,12.5781805417247,3.99905644048818,99.4797495264815,3773.89545510832,5.66003528584648,10,4,0,0
9.10673164827128,2.54813031950659,-3.77501901842788,35.9531760076227,59.3940526777527,14.0835861331747,8.80315744825435,12.578178358881,3.99905471933869,99.4797334180299,3773.89444191704,5.66003536788507,10,4,0,0
9.10673128472559,2.548130348293,-3.77501872541825,35.9531745586237,59.3940485592299,14.0835831097584,8.80315556271887,12.5781761736726,3.99905300710606,99.4797173180416,3773.89342795856,5.66003545177143,10,4,0,0
9.10673092137253,2.54813037793558,-3.7750184233962,35.9531731103892,59.3940444300922,14.0835800964268,8.80315368383248,12.5781739861151,3.99905130376845,99.479701226547,3773.89241323891,5.66003553749938,10,4,0,0
9.10673055821283,2.5481304084315,-3.77501811239119,35.9531716629221,59.3940402903892,14.0835770931586,8.8031518115809,12.5781717962237,3.99904960930377,99.4796851435789,3773.89139776434,5.6600356250627,10,4,0,0
9.10673019524719,2.54813043977793,-3.77501779243323,35.9531702162251,59.3940361401686,14.083574099933,8.80314994594983,12.5781696040141,3.99904792368989,99.4796690691683,3773.89038154091,5.66003571445527,10,4,0,0
9.10672983247631,2.54813047197205,-3.77501746355165,35.9531687703013,59.3940319794799,14.0835711167289,8.80314808692515,12.5781674095015,3.99904624690475,99.4796530033473,3773.8893645747,5.66003580567093,10,4,0,0
9.10672946990092,2.54813050501106,-3.77501712577623,35.9531673251532,59.3940278083709,14.0835681435253,8.80314623449254,12.5781652127014,3.99904457892649,99.4796369461464,3773.88834687184,5.66003589870354,10,4,0,0
9.1067291075217,2.54813053889214,-3.77501677913665,35.9531658807838,59.3940236268903,14.0835651803013,8.80314438863786,12.5781630136292,3.9990429197332,99.4796208975976,3773.88732843829,5.66003599354703,10,4,0,0
9.10672874533936,2.5481305736125,-3.77501642366207,35.9531644371959,59.394019435086,14.0835622270362,8.80314254934694,12.5781608122999,3.99904126930318,99.479604857732,3773.88630928012,5.66003609019526,10,4,0,0
9.10672838335458,2.54813060916934,-3.77501605938198,35.9531629943921,59.3940152330063,14.0835592837091,8.8031407166057,12.5781586087289,3.99903962761454,99.4795888265792,3773.88528940331,5.66003618864215,10,4,0,0
9.10672802156806,2.54813064555987,-3.77501568632562,35.9531615523754,59.3940110206988,14.083556350299,8.80313889040002,12.5781564029313,3.99903799464539,99.4795728041715,3773.8842688139,5.66003628888164,10,4,0,0
9.10672765998051,2.54813068278131,-3.77501530452224,35.9531601111485,59.3940067982118,14.0835534267853,8.80313707071582,12.5781541949223,3.99903637037409,99.4795567905385,3773.88324751794,5.66003639090765,10,4,0,0
9.10672729859259,2.54813072083089,-3.77501491400113,35.9531586707141,59.3940025655932,14.083550513147,8.80313525753911,12.578151984717,3.99903475477896,99.4795407857124,3773.88222552135,5.66003649471411,10,4,0,0
9.106726937405,2.54813075970582,-3.77501451479156,35.9531572310748,59.3939983228901,14.0835476093636,8.80313345085568,12.5781497723307,3.99903314783825,99.4795247897204,3773.88120283005,5.660036600295,10,4,0,0
9.10672657641841,2.54813079940334,-3.7750141069223,35.9531557922336,59.3939940701503,14.0835447154141,8.80313165065161,12.578147557778,3.9990315495304,99.4795088025961,3773.88017945004,5.6600367076443,10,4,0,0
9.10672621563352,2.5481308399207,-3.77501369042261,35.9531543541933,59.393989807421,14.0835418312781,8.8031298569129,12.5781453410742,3.99902995983371,99.4794928243702,3773.87915538719,5.66003681675595,10,4,0,0
9.10672585505098,2.54813088125513,-3.77501326532138,35.9531529169561,59.39398553475,14.0835389569348,8.80312806962553,12.5781431222343,3.99902837872668,99.4794768550681,3773.87813064744,5.66003692762401,10,4,0,0
9.10672549467149,2.54813092340391,-3.77501283164753,35.9531514805252,59.3939812521841,14.0835360923638,8.80312628877562,12.5781409012731,3.99902680618777,99.4794608947245,3773.87710523668,5.66003704024248,10,4,0,0
9.10672513449571,2.54813096636427,-3.77501238942961,35.9531500449031,59.3939769597704,14.0835332375443,8.80312451434912,12.5781386782052,3.99902524219567,99.4794449433673,3773.87607916075,5.66003715460536,10,4,0,0
9.10672477452431,2.5481310101335,-3.77501193869682,35.9531486100922,59.3939726575558,14.0835303924559,8.80312274633218,12.5781364530459,3.99902368672895,99.4794290010248,3773.87505242553,5.66003727070673,10,4,0,0
9.10672441475794,2.54813105470885,-3.77501147947766,35.9531471760956,59.393968345587,14.0835275570781,8.80312098471097,12.5781342258098,3.99902213976605,99.4794130677292,3773.87402503689,5.66003738854062,10,4,0,0
