Pdis,Psuc,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,CprPower,Density,Tset,Tamb
6,2.928031823,-66.85624578,-66.85624578,21.5510218,-273.15,0,66.85624578,-273.15,0,0,6.616083519,10,4
6.004564743,2.978940452,-1.71E-13,21.57165936,21.57477636,-100.4550597,0.004482572,1.71E-13,-99.13321928,0,0,6.731746774,10,4
6.008964414,3.038007311,0.476697365,21.59655229,21.5976719,-36.84545574,0.010285613,-0.472214794,-31.35619089,0,0,6.865964648,10,4
6.013402838,3.081117611,1.021999551,21.62053149,21.6207691,-13.44212682,0.016862123,-1.011713938,-5.600926311,0,0,6.963911863,10,4
6.01778959,3.113604602,1.414869692,21.64470846,21.64359741,-4.813719627,0.023988051,-1.398007569,3.515233939,0,0,7.037703579,10,4
6.022084713,3.138781907,1.708146923,21.66859071,21.66594889,-1.632028011,0.0315368,-1.684158872,6.313733528,0,0,7.094870067,10,4
6.026275915,3.158554146,1.933823387,21.69196136,21.68775957,-0.446601465,0.039431062,-1.902286586,6.810355902,0,0,7.139740506,10,4
6.030362883,3.174119078,2.110079109,21.71475442,21.70902783,0.011836695,0.047619007,-2.070648047,6.521321421,0,0,7.175037917,10,4
6.034349786,3.186311435,2.248234669,21.73696908,21.72977535,0.205400813,0.056063561,-2.200615662,6.003341677,0,0,7.20266039,10,4
6.038242192,3.195760694,2.356092184,21.75862887,21.75003113,0.304212191,0.064736652,-2.300028623,5.457180502,0,0,7.224039583,10,4
6.042046023,3.202972386,2.439465673,21.77976485,21.76982596,0.369651526,0.073616204,-2.374729021,4.949173356,0,0,7.240325476,10,4
6.045766936,3.208336451,2.502969251,21.80040991,21.7891893,0.422989422,0.082685006,-2.429353046,4.496345523,0,0,7.252405243,10,4
6.049410261,3.212167684,2.550132163,21.82059544,21.80814887,0.471879406,0.091929148,-2.467447157,4.099488112,0,0,7.260995178,10,4
6.052980997,3.214725987,2.58378079,21.84035096,21.8267307,0.519069991,0.101337215,-2.491851642,3.754090219,0,0,7.266686742,10,4
6.056483833,3.216228366,2.606232495,21.85970415,21.84495918,0.56554033,0.110899768,-2.50489528,3.454286237,0,0,7.269973813,10,4
6.059922812,3.216843993,2.619411,21.87868095,21.86285535,0.611631682,0.120609547,-2.508511233,3.194739592,0,0,7.271241439,10,4
6.063301874,3.216724008,2.624809769,21.89730372,21.88043973,0.657481003,0.13046018,-2.504200221,2.970319904,0,0,7.270833635,10,4
6.066624669,3.215995972,2.623757621,21.91559426,21.89773128,0.703131523,0.140446408,-2.493297441,2.776486433,0,0,7.269040754,10,4
6.069894583,3.214768077,2.617372803,21.93357271,21.91474766,0.748595736,0.150563903,-2.476926395,2.609274476,0,0,7.266109069,10,4
6.073114745,3.213132377,2.60660176,21.95125778,21.93150512,0.79387632,0.160809113,-2.456037857,2.46524021,0,0,7.26224811,10,4
6.076288042,3.211167617,2.592248561,21.96866673,21.94801871,0.838973046,0.171179146,-2.431439448,2.341398098,0,0,7.257637115,10,4
6.07941715,3.208941287,2.575000458,21.98581549,21.96430234,0.883885039,0.181671669,-2.403821312,2.235161195,0,0,7.252429696,10,4
