prior for non faulty data,accuracy,false positive
0.0,0.786984126984127,1.0
0.001,0.786984126984127,1.0
0.002,0.786984126984127,1.0
0.003,0.786984126984127,1.0
0.004,0.786984126984127,1.0
0.005,0.786984126984127,1.0
0.006,0.786984126984127,1.0
0.007,0.786984126984127,1.0
0.008,0.786984126984127,1.0
0.009000000000000001,0.786984126984127,1.0
0.01,0.786984126984127,1.0
0.011,0.786984126984127,1.0
0.012,0.786984126984127,1.0
0.013000000000000001,0.786984126984127,1.0
0.014,0.786984126984127,1.0
0.015,0.786984126984127,1.0
0.016,0.786984126984127,1.0
0.017,0.786984126984127,1.0
0.018000000000000002,0.786984126984127,1.0
0.019,0.786984126984127,1.0
0.02,0.786984126984127,1.0
0.021,0.786984126984127,1.0
0.022,0.786984126984127,1.0
0.023,0.786984126984127,1.0
0.024,0.786984126984127,1.0
0.025,0.786984126984127,1.0
0.026000000000000002,0.786984126984127,1.0
0.027,0.786984126984127,1.0
0.028,0.786984126984127,1.0
0.029,0.786984126984127,1.0
0.03,0.786984126984127,1.0
0.031,0.786984126984127,1.0
0.032,0.786984126984127,1.0
0.033,0.786984126984127,1.0
0.034,0.786984126984127,1.0
0.035,0.786984126984127,1.0
0.036000000000000004,0.786984126984127,1.0
0.037,0.786984126984127,1.0
0.038,0.786984126984127,1.0
0.039,0.786984126984127,1.0
0.04,0.786984126984127,1.0
0.041,0.786984126984127,1.0
0.042,0.786984126984127,1.0
0.043000000000000003,0.786984126984127,1.0
0.044,0.786984126984127,1.0
0.045,0.786984126984127,1.0
0.046,0.786984126984127,1.0
0.047,0.786984126984127,1.0
0.048,0.7855555555555556,0.13
0.049,0.7859126984126984,0.06333333333333335
0.05,0.7811111111111111,0.05666666666666664
0.051000000000000004,0.7701587301587302,0.05666666666666664
0.052000000000000005,0.7668253968253969,0.0
0.053,0.7609523809523809,0.0
0.054,0.7579365079365079,0.0
0.055,0.7481746031746032,0.0
0.056,0.7439285714285714,0.0
0.057,0.7355555555555555,0.0
0.058,0.7270634920634921,0.0
0.059000000000000004,0.7186111111111111,0.0
0.06,0.7124206349206349,0.0
0.061,0.6976587301587301,0.0
0.062,0.6886111111111111,0.0
0.063,0.6750793650793651,0.0
0.064,0.6614682539682539,0.0
0.065,0.6540873015873016,0.0
0.066,0.6419047619047619,0.0
0.067,0.6309523809523809,0.0
0.068,0.6256746031746032,0.0
0.069,0.6150793650793651,0.0
0.07,0.6125,0.0
0.07100000000000001,0.6065873015873016,0.0
0.07200000000000001,0.5904761904761905,0.0
0.073,0.5840873015873016,0.0
0.074,0.5760714285714286,0.0
0.075,0.5647222222222222,0.0
0.076,0.553531746031746,0.0
0.077,0.5417857142857143,0.0
0.078,0.5275396825396825,0.0
0.079,0.5107936507936508,0.0
0.08,0.5047222222222222,0.0
0.081,0.5017460317460317,0.0
0.082,0.4953968253968254,0.0
0.083,0.4909920634920635,0.0
0.084,0.48968253968253966,0.0
0.085,0.48718253968253966,0.0
0.08600000000000001,0.4843253968253968,0.0
0.08700000000000001,0.47873015873015873,0.0
0.088,0.4766269841269841,0.0
0.089,0.4692063492063492,0.0
0.09,0.4671031746031746,0.0
0.091,0.46440476190476193,0.0
0.092,0.46440476190476193,0.0
0.093,0.45876984126984127,0.0
0.094,0.45876984126984127,0.0
0.095,0.4492063492063492,0.0
0.096,0.44547619047619047,0.0
0.097,0.4450793650793651,0.0
0.098,0.4425793650793651,0.0
0.099,0.4421428571428571,0.0
0.1,0.4390873015873016,0.0
0.101,0.4363888888888889,0.0
0.10200000000000001,0.4340873015873016,0.0
0.10300000000000001,0.43162698412698414,0.0
0.10400000000000001,0.43162698412698414,0.0
0.105,0.42884920634920637,0.0
0.106,0.42313492063492064,0.0
0.107,0.41563492063492063,0.0
0.108,0.41563492063492063,0.0
0.109,0.4128174603174603,0.0
0.11,0.4128174603174603,0.0
0.111,0.40865079365079365,0.0
0.112,0.4057142857142857,0.0
0.113,0.40285714285714286,0.0
0.114,0.40285714285714286,0.0
