Pdis,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,Tamb,Tset,target
8.93173539306018,-7.32727538718905,35.2509675758989,62.398171694696,9.21373075296015,5.21819637479382,12.5454626365533,-0.0070507348621617,91.6774175099881,30,0,0
8.28350249868638,8.35078315862177,32.5559302381172,36.9029060380423,19.3351491367335,14.4542869623631,6.1038731356029,12.0236285749802,61.7325582013027,10,12,0
7.99867722857356,4.39248583743193,31.320563764191,38.4464611041377,12.682279394637,9.34767724655893,4.9383000056913,7.04968267981974,48.0062640465671,10,7,0
8.46085076644742,7.7197896273077,33.3086548560314,39.2838189739113,20.1194978860958,14.6198185576027,6.90004095361451,12.0227966466352,70.096165067015,30,12,0
9.37730486244797,-1.46981409540552,37.0192195358699,58.6294528579985,17.8943342722594,11.5489466856669,13.0187701507198,7.00496076739637,100.0,30,7,0
9.91665820939316,2.38073479571074,39.0771408866329,58.1668971410101,24.9848046527081,16.0735257665317,13.6928063006201,12.0334437460988,100.0,30,12,0
9.91837486044576,2.3663958576625,39.0835630527894,58.198236269414,24.9821125277068,16.0706664364093,13.7042830951643,12.0263020006763,100.0,10,12,0
9.37725866271774,-1.46719699426052,37.0190380467046,58.6256485687491,17.8964349916643,11.5502752011042,13.0174834796622,7.00700557904725,100.0,30,7,0
8.30544106455479,3.27504055626986,32.649832508654,42.6042505564079,14.1576745308845,10.0277701362011,6.7527343378959,7.010997062456,62.7759167628218,30,7,0
8.46076110342684,7.72034598478172,33.3082769942855,39.2823754597658,20.1193499266934,14.6199391917486,6.89960531942472,12.023019336722,70.0919666031723,30,12,0
8.30561899987973,3.27385485244082,32.6505929076994,42.6072810492083,14.1579279863384,10.0275508342783,6.75370055971797,7.01048701527515,62.7843656411048,30,7,0
9.48462875982424,-1.91030312292202,37.4356808916133,60.0757495493497,18.0962411176281,11.6776678003839,13.5879805932524,7.00211414936746,100.0,10,7,0
8.30522983675421,3.27644445911505,32.6489298216231,42.6006570477946,14.1573700946048,10.0280275823132,6.75158808385135,7.01159921144222,62.7658869069232,30,7,0
9.59161926180866,-2.38237902287932,37.8473363974246,61.603427888283,18.310643090093,11.7966104496228,14.179002395227,7.00507548312515,100.0,20,7,0
8.93203891800395,-7.33568726997146,35.2521975950252,62.4135269300963,9.20903163649524,5.21495423590954,12.5506292004163,-0.0124665249328473,91.6910843891685,30,0,0
8.15343585980628,-3.25075498088256,31.9964065493563,49.3298623548953,6.11703668195071,3.56213084771798,6.81288554236841,0.0027374652120215,55.5156283261807,30,0,0
9.06588301622277,-8.31856546589216,35.7901882729767,65.2381175991866,9.64079195371482,5.50938092088813,13.8279234115847,-0.029916343117236,97.6687585886301,10,0,0
9.37726954945903,-1.46767349049105,37.0190807372958,58.6263615559878,17.8960660802447,11.550041861267,13.0177263071017,7.00664151019765,100.0,30,7,0
9.91771805726764,2.37191117382741,39.0811059707101,58.186209773713,24.9831696960909,16.0717763713985,13.6998788224723,12.0290582417267,100.0,30,12,0
9.06524421290452,-8.30433523441747,35.7876299873877,65.2105342984016,9.64712344169521,5.51395406722901,13.8182688220866,-0.0220276245051991,97.640333193197,20,0,0
9.06502453203532,-8.29883744067996,35.78674995401,65.2001671275782,9.64984110169809,5.5159143834025,13.8147327001733,-0.0188075964132963,97.6305550445558,20,0,0
9.48476362281975,-1.90315631482923,37.436198061483,60.0672600175816,18.103328428506,11.6821194515782,13.5852920156136,7.00847928274806,100.0,10,7,0
9.91568974662347,2.38872149310902,39.0735174474046,58.1493435736994,24.9862278128455,16.0750827795143,13.6863780911627,12.0373891714521,100.0,20,12,0
9.91488316861519,2.39532156548097,39.0704995101977,58.1347878178826,24.9873651238484,16.0763514219671,13.6810478339892,12.0406331843274,100.0,20,12,0
9.48473799283481,-1.90760465749202,37.4361014804563,60.0730276239796,18.0992367636956,11.6795503034579,13.5871675439002,7.00471422420264,100.0,10,7,0
7.95395093166666,-2.56777464834528,31.1248114009331,46.6010933226569,5.16178189487607,3.14425642310954,5.71203020927868,0.0041271684976322,45.831237788146,10,0,0
8.93170127098448,-7.32609179004669,35.2508292089616,62.3960986085619,9.21447377931378,5.21870842566864,12.5447916717384,-0.006239245569418,91.6758800995739,30,0,0
9.06636365108251,-8.3282351416857,35.7921126521773,65.2573576998246,9.63695670968161,5.50660636670216,13.8348175064799,-0.0349800501651316,97.6901405797479,20,0,0
7.95369323421438,-2.56647051404195,31.1236740529214,46.5968088187175,5.16087657743248,3.14404346880195,5.71051236922619,0.0045682546534067,45.818600588016,10,0,0
8.46383925146085,7.70102306298747,33.3212475367675,39.332157983188,20.1242038447353,14.6156222749529,6.91460778530791,12.015170082279,70.2360837418616,30,12,0
7.95392440491411,-2.56763442319647,31.1246943188369,46.6006436040961,5.16169481669846,3.14423937369469,5.71187286011752,0.0041783713905374,45.8299368759653,10,0,0
9.06638167045011,-8.32858527230638,35.7921847925485,65.2580609349941,9.63682402937934,5.50651031638984,13.8350715584323,-0.0351594639847121,97.6909421394282,20,0,0
8.28255396337181,8.33624520462729,32.5522015181108,36.9307497056341,19.3333969783621,14.4928665953063,6.15331463508323,12.0251151252509,61.6911279790088,10,12,0
8.28399806892388,8.34535028840901,32.5581007991525,36.9167095196576,19.3360468078006,14.4560962385711,6.11005205652526,12.0230975960691,61.7566755461389,10,12,0
7.99174864161445,4.14276849051697,31.2936171039128,38.8577179219959,12.6880943893316,9.91490554906289,5.76281471457509,6.98739947316773,47.7068567101425,10,7,0
