Pdis,Psuc,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,CprPower,Density,Tamb,Tset
6,2.92803182339495,-66.8562457822183,-66.8562457822183,21.5510217973122,-273.15,0,66.8562457822183,-273.15,0,0,6.61608351884431,10,4
6.00456474341249,2.97894045176552,-1.70530256582424e-13,21.5716593574974,21.574776359586,-100.455059714369,0.00448257156182308,1.70530256582424e-13,-99.1332192836253,0,0,6.73174677360219,10,4
6.00896441436531,3.03800731130084,0.476697365314521,21.5965522886841,21.5976718978866,-36.8454557376281,0.0102856131638873,-0.472214793752698,-31.3561908893887,0,0,6.86596464801929,10,4
6.01340283839313,3.08111761071465,1.02199955080931,21.6205314921129,21.6207691041125,-13.4421268211642,0.0168621228577308,-1.01171393764542,-5.6009263114575,0,0,6.96391186251293,10,4
6.01778958960669,3.11360460175725,1.41486969223843,21.6447084620219,21.6435974091158,-4.81371962712979,0.0239880506218242,-1.3980075693807,3.51523393859173,0,0,7.03770357874442,10,4
6.0220847131642,3.13878190723695,1.70814692262286,21.6685907066278,21.6659488910725,-1.6320280106508,0.0315368003887215,-1.68415887200103,6.31373352751939,0,0,7.09487006684701,10,4
6.02627591471544,3.15855414594051,1.93382338664122,21.6919613648759,21.68775957116,-0.446601465458912,0.0394310620928877,-1.9022865862525,6.81035590184581,0,0,7.13974050628822,10,4
6.03036288267554,3.17411907817735,2.11007910922012,21.7147544167151,21.7090278279154,0.0118366947300501,0.0476190067440712,-2.07064804712724,6.52132142061055,0,0,7.17503791749288,10,4
6.03434978554934,3.18631143518728,2.24823466924187,21.736969075604,21.7297753539069,0.205400812791424,0.0560635612818032,-2.2006156624978,6.00334167715567,0,0,7.20266038953326,10,4
6.03824219240773,3.19576069413297,2.35609218391636,21.7586288671791,21.7500311301374,0.304212190624298,0.064736651998146,-2.30002862263456,5.45718050200168,0,0,7.2240395825742,10,4
6.04204602287299,3.20297238567348,2.43946567271877,21.7797648520507,21.769825961851,0.369651526431824,0.0736162044172488,-2.37472902072062,4.94917335600144,0,0,7.24032547641246,10,4
6.0457669361204,3.20833645104241,2.50296925090623,21.800409913216,21.7891892989467,0.422989421602722,0.0826850057905517,-2.42935304648898,4.49634552325227,0,0,7.25240524285257,10,4
6.04941026083242,3.2121676837347,2.55013216277905,21.8205954415558,21.8081488714647,0.471879406021799,0.0919291481292248,-2.4674471569885,4.09948811165742,0,0,7.26099517774784,10,4
6.05298099653832,3.21472598716372,2.58378078997163,21.840350963024,21.8267306965587,0.519069991458707,0.101337215277397,-2.4918516418424,3.75409021883684,0,0,7.26668674187392,10,4
6.05648383308814,3.21622836580487,2.60623249518733,21.8597041532099,21.8449591798355,0.565540330276519,0.110899767929709,-2.50489527990993,3.45428623657585,0,0,7.2699738126197,10,4
6.05992281197122,3.21684399283494,2.61941100047881,21.8786809496281,21.862855352885,0.611631682303027,0.120609547360573,-2.5085112325491,3.19473959214349,0,0,7.27124143858132,10,4
6.06330187441326,3.2167240082151,2.62480976869716,21.8973037242366,21.8804397255328,0.65748100273214,0.130460179894328,-2.50420022133659,2.97031990388024,0,0,7.27083363533805,10,4
6.06662466851243,3.21599597158687,2.62375762052619,21.9155942592461,21.897731282192,0.703131523109221,0.140446407986133,-2.49329744063186,2.77648643268003,0,0,7.26904075423362,10,4
6.06989458314676,3.21476807683076,2.61737280301264,21.9335727067657,21.9147476583149,0.748595736471032,0.15056390257007,-2.47692639502651,2.6092744756225,0,0,7.26610906862611,10,4
6.07311474489968,3.21313237685979,2.60660176000192,21.9512577770481,21.9315051243934,0.793876319646699,0.160809112782772,-2.45603785743185,2.46524020952734,0,0,7.26224811015583,10,4
6.07628804221649,3.21116761672212,2.59224856091362,21.9686667261311,21.9480187116674,0.838973046266574,0.171179145717531,-2.43143944813085,2.34139809767584,0,0,7.25763711485661,10,4
6.07941715008978,3.2089412868436,2.57500045767495,21.9858154904215,21.964302340586,0.883885038706012,0.181671669126217,-2.40382131195742,2.23516119502386,0,0,7.25242969567207,10,4
6.08250454830097,3.20651138882485,2.55544631275154,22.0027188236243,21.9803689157348,0.928611473501633,0.192284830626818,-2.37377464362532,2.14428681972629,0,0,7.24675786130664,10,4
6.08555253371661,3.20392776433574,2.53409231553042,22.0193903983981,21.996230389825,0.973168159436625,0.203017347720788,-2.3418074849036,2.06682982815585,0,0,7.24073503913873,10,4
6.08876428721267,3.20123044431751,2.51137373963428,22.0358428755503,22.0129441000024,1.01754278079716,0.213868181067369,-2.30835639191349,2.00121261927092,0,0,7.23445232682258,10,4
6.09214224638732,3.19845993475342,2.48764039807742,22.0531726051139,22.0305227313343,1.06171780732979,0.22483628972401,-2.27377221701005,1.94582287182999,0,0,7.22800189165655,10,4
6.09548766278528,3.19564785041269,2.46324708806321,22.0713916808205,22.0479320126402,1.10570172289209,0.235921154572111,-2.2384107983392,1.89938868926509,0,0,7.22145566144846,10,4
6.09880501674538,3.1928212708156,2.4384711376448,22.0894277123775,22.0651952592476,1.14949799250559,0.247122478369931,-2.20254998307269,1.86080784896234,0,0,7.214875237814,10,4
6.10209567457917,3.19000299026951,2.41355060694366,22.1073050652563,22.0823195813334,1.19310830837009,0.258440148877469,-2.16642812857373,1.8291411889486,0,0,7.20831246677418,10,4
6.10536031121615,3.18721272815373,2.38868637976663,22.1250312917319,22.0993084911772,1.23653379783184,0.269874201262439,-2.13024623088916,1.80356539541657,0,0,7.20181219298512,10,4
