Pdis,Psuc,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,CprPower,Density,Cpr,Tamb,Tset
6,2.92803182339495,-66.8562457822183,-66.8562457822183,21.5510217973122,-273.15,0,66.8562457822183,-273.15,0,0,6.61608351884431,0,30,0
6.00456474240043,2.97894230243652,-1.70530256582424e-13,21.5716593574974,21.5747763543193,-100.451919560119,0.00448077807880054,1.70530256582424e-13,-99.1298358736855,0,0,6.73175100342721,0,30,0
6.00896438163468,3.03800522070944,0.476714580310841,21.5965522831665,21.597671727559,-36.8371921355794,0.0102708210318383,-0.47223380223204,-31.346829313876,0,0,6.86596008535189,0,30,0
6.01340277020761,3.08110219320726,1.0219803953778,21.6205313137731,21.6207687492804,-13.4304936682846,0.016816175360475,-1.01170957434596,-5.58560545828044,0,0,6.96387740214841,0,30,0
6.01778957458055,3.11356065901486,1.41472994752377,21.6447080907055,21.6435973309211,-4.81695179717269,0.0238910837671824,-1.39791377216329,3.51568996085962,0,0,7.03760491728916,0,30,0
6.02208471101927,3.13870622415275,1.70775181922693,21.6685906248453,21.6659488799105,-1.64088151046695,0.0313683872689126,-1.68386073545975,6.30927794610591,0,0,7.09470016343635,0,30,0
6.02627590187209,3.15843621726719,1.93314708888806,21.6919613532079,21.6877595043242,-0.46179835856816,0.0391712341978518,-1.90177870161915,6.79999222280964,0,0,7.13947573510169,0,30,0
6.03036287248518,3.17396080485567,2.10903037194123,21.7147543468873,21.7090277748856,-0.00396195419352807,0.0472475906764771,-2.06985913774338,6.51198720961025,0,0,7.17468287877455,0,30,0
6.03434977999338,3.18610162045816,2.24683244300093,21.7369690202286,21.7297753249943,0.187101297692379,0.0555609676966924,-2.19958485232445,5.99259483773977,0,0,7.20218988241541,0,30,0
6.03824216292147,3.19549326556226,2.35423877653591,21.7586288370027,21.7500309766933,0.282801442655682,0.0640835570688978,-2.29867780883922,5.44431698675606,0,0,7.22344006041243,0,30,0
6.04204603079504,3.20264665773361,2.43710867819317,21.7797646919776,21.7698260030768,0.345466945090891,0.0727931719088701,-2.37302512112427,4.93449444508082,0,0,7.23959565033324,0,30,0
6.04576697187813,3.20794545573382,2.50010337468956,21.8004099562022,21.7891894850271,0.395894304941351,0.0816730323426214,-2.42731020278069,4.47966162089773,0,0,7.25152952592747,0,30,0
6.04941028843015,3.21170422761814,2.54669642833517,21.8205956354924,21.8081490150811,0.44186422972183,0.0907094564630029,-2.46502339599255,4.08083257124912,0,0,7.25995746736004,0,30,0
6.0529810356149,3.21418582110053,2.5797120248136,21.8403511126356,21.8267308999101,0.486176089522587,0.0998910633438754,-2.4890025683506,3.73345946901895,0,0,7.26547763364464,0,30,0
6.0564837028837,3.21559887642171,2.60149313279879,21.8597043649556,21.8449585022619,0.529780618616712,0.109208948160187,-2.50160206945492,3.43193797758636,0,0,7.26856486643148,0,30,0
6.05992267853151,3.21612744923679,2.61388984565963,21.878680244393,21.8628546584754,0.573040697667864,0.118655375308151,-2.50468089749944,3.17043931611352,0,0,7.26963807893266,0,30,0
6.06330173181028,3.21591510814927,2.61852593255992,21.8973030017884,21.8804389834382,0.616073097125025,0.128224456107944,-2.49987055725177,2.9440592586302,0,0,7.26902405527661,0,30,0
6.06662451469869,3.21508965043029,2.61666356930164,21.9155934875127,21.8977304817575,0.658921808364653,0.137911089851798,-2.48843911319369,2.74825808162245,0,0,7.2670136854944,0,30,0
6.06989441482733,3.21375938379341,2.60942289568447,21.9335718747071,21.914746782394,0.701599263386981,0.14771110378615,-2.47151180583268,2.57907117196601,0,0,7.26385350001827,0,30,0
6.07311456007327,3.21201646058093,2.59775118324222,21.9512568668914,21.9315041625714,0.74410783206298,0.157621101394909,-2.45004007945607,2.43305425362337,0,0,7.25975325484593,0,30,0
6.07628783758797,3.20993972634917,2.58245322404628,21.9686657271165,21.9480176467968,0.786446922130324,0.16763834230926,-2.42483212265137,2.30722159883942,0,0,7.25489241287665,0,30,0
6.07941692342488,3.20759677589647,2.56421702401207,21.9858143848102,21.9643011610398,0.828615290233074,0.177760645073704,-2.39657868170281,2.19898583462685,0,0,7.24942482276441,0,30,0
6.08250429613957,3.20504571832209,2.54363225518347,22.0027175994265,21.9803676035069,0.870611764173304,0.187986306685445,-2.36587161010976,2.10610365643066,0,0,7.24348273608667,0,30,0
6.08555225359302,3.20233650199161,2.52120596545461,22.0193890370184,21.996228932084,0.912435442306048,0.198314034203634,-2.33321965876917,2.02662921823838,0,0,7.23717982347852,0,30,0
6.08876068237832,3.19950925631789,2.49737430056484,22.0358413637797,22.0129253407306,0.954085735666069,0.208742923974455,-2.29906026636121,1.95898407516756,0,0,7.23060740516167,0,30,0
6.09213720699177,3.19660482901046,2.47248788280899,22.053153158303,22.0304965067199,0.995586438705971,0.219272476302535,-2.26374495883454,1.90154846469289,0,0,7.22385841880449,0,30,0
6.09548219554058,3.19365448340409,2.44690450295775,22.0713645064495,22.0479035615328,1.0369048443938,0.229902186723905,-2.22763202665521,1.85307234406736,0,0,7.21700399326843,0,30,0
6.09879904750156,3.19068663168148,2.42089838280543,22.0893982431083,22.0651641957767,1.07803979528751,0.240631814964161,-2.19099619608153,1.81240376161327,0,0,7.21010876076836,0,30,0
6.10208914543936,3.18772295907951,2.3947193417635,22.1072729033647,22.0822856042083,1.11899750203509,0.251461397996536,-2.15408752679934,1.77865285524081,0,0,7.20322204353844,0,30,0
6.10535307797868,3.18478362297338,2.36855850610004,22.1249961274962,22.0992708499838,1.1597810484659,0.262391114637865,-2.11709710810351,1.75098252413795,0,0,7.19638968101187,0,30,0
