Pdis,Psuc,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,CprPower,Density,Cpr,Tset,Tamb
8.28585776715116,3.91844627246657,8.32001067712366,32.5662362089457,36.9746420844411,19.3409914195766,14.4928420714735,6.1724996618957,12.0154734809889,61.8470689882852,813.842377071388,8.63474684956557,29.2003140179793,12,10
8.28584607350926,3.91853039615476,8.32053541537454,32.5661718138236,36.9733013771422,21.3410238274888,14.4928369133505,6.17230665609901,12.0152956621674,61.8463534869287,813.87266920058,8.63493360187501,29.2001787473456,12,10
8.28583591323944,3.91862505205731,8.32116968166702,32.566121803789,36.97180342808,21.3410588335396,14.4926421412615,6.17166723168344,12.0151239998672,61.8457978198775,813.906218305242,8.63514673886147,29.2000719315953,12,10
8.28583007381514,3.91873116430744,8.32188334512995,32.5660783514622,36.9700870126418,21.3410922095534,14.4920739921261,6.17075879613157,12.0149672071241,61.8453150162471,813.984585065267,8.63539123219871,29.1999746706745,12,10
8.28582830034571,3.91884760366415,8.32268336871664,32.5660533780352,36.9682254890766,21.3411233926452,14.4911834515574,6.16939062340941,12.0148360820338,61.8450375337242,814.079839247374,8.63566376634634,29.1999048880636,12,10
8.28583068357935,3.91897247607695,8.32356123354322,32.5660457934477,36.9662461646939,21.3411532356648,14.4899943008322,6.16762221801417,12.0147395773013,61.84495326053,814.192973504505,8.63595976104262,29.1998849165214,12,10
8.28583775039215,3.9191025421746,8.32450265511306,32.5660559858103,36.964191280429,21.3411805027915,14.4885066583257,6.16549164571916,12.0146810774368,61.8450665090033,814.32746397948,8.63627202685865,29.1999334986195,12,10
8.2858497478253,3.91923443340583,8.32548320787168,32.5660862083982,36.9621095535152,21.3412046882208,14.4867417082107,6.16302345045398,12.0146580392575,61.8454023155361,814.481169162436,8.63659275280892,29.2000581461818,12,10
8.28586640710735,3.91936475323877,8.3264774947213,32.5661375176907,36.9600502043357,21.3412259076986,14.4847477317691,6.16026421348937,12.0146627361228,61.8459724187851,814.650091087938,8.6369136349172,29.2002543118703,12,10
8.28588779135133,3.91949010565245,8.32745991019596,32.5662087641693,36.9580634778425,21.3412437245737,14.4825521412114,6.15728782157311,12.0146903950911,61.8467640463254,814.831032862789,8.63722670186552,29.2005068106589,12,10
8.28591358591927,3.91960757461741,8.32840485526947,32.5663002176572,36.9561981918903,21.3412584616083,14.4802010391735,6.15414728594197,12.0147379678336,61.8477801961906,815.017622781516,8.63752475009445,29.2008063620793,12,10
8.28594270922593,3.91971611226815,8.3292903515362,32.5664105324366,36.9544718186027,21.3412710244045,14.4777685910234,6.15091068763729,12.0148038780302,61.849005915962,815.209049785188,8.63780427519691,29.2011471287993,12,10
8.28597506076043,3.91981248399332,8.33010850438973,32.566535082813,36.9529463923516,21.341281467936,14.4752910498916,6.14766008663372,12.014891640135,61.8503898090334,815.393667083725,8.63805752274164,29.2015262298202,12,10
8.28600967877455,3.91989610044576,8.33083493644165,32.5666734388248,36.9516260177481,21.3412902451009,14.4728303094524,6.14445611344991,12.0149993154282,61.8519270980528,815.574993124349,8.63828220046203,29.201951160289,12,10
8.28604601583502,3.91996545623725,8.33146521058296,32.5668214873144,36.9505386048661,21.3412972812215,14.4704329896918,6.14136509886947,12.0151270980801,61.8535720812708,815.748987044788,8.63847422601358,29.2024183335047,12,10
8.28608350092581,3.92001923204436,8.33198798462303,32.5669768870314,36.9497067951557,21.3413025403838,14.4681448284927,6.13844500506877,12.0152735330383,61.8552987447932,815.912205029747,8.63862994385349,29.2029284885104,12,10
8.28612156090411,3.92005627079443,8.33239331860028,32.5671371958983,36.9491485285814,21.3413059959599,14.46600928514,6.13575150989243,12.0154354763839,61.857079954426,816.061970359199,8.63874609464939,29.2034789988935,12,10
8.28615962352566,3.92007568098847,8.33267249490484,32.5672999627733,36.9488766653031,21.3413076651836,14.4640665227564,6.13333679023515,12.0156086485621,61.8588884752588,816.195959107119,8.63882006080013,29.2040637634253,12,10
8.28619712027615,3.92007692853525,8.33281879672239,32.5674627403903,36.9488984214759,21.341307653014,14.4623526593158,6.13124772603396,12.0157883525305,61.8606971154476,816.312015245823,8.63885008219618,29.2046743070636,12,10
8.2862334915869,3.92005988392287,8.33282819992519,32.567623097468,36.9492149898896,21.3413061708524,14.4608991788554,6.12952445939061,12.0159700269874,61.8624788607551,816.408162957917,8.6388353703188,29.2053012281883,12,10
8.28626819522211,3.92002482550131,8.33269972843323,32.5677786410146,36.9498214647566,21.341303523448,14.4597324275935,6.12819945042219,12.0161495151346,61.8642071223847,816.482716085239,8.63877612358388,29.2059353211722,12,10
8.28630071685629,3.91997241368606,8.33243547891681,32.5679270521933,36.9507070367819,21.3413000755819,14.4588731649909,6.1272969486767,12.0163230922082,61.8658561354809,816.534400619547,8.63867347726816,29.2065681273426,12,10
8.28633058164447,3.91990365281469,8.33204042648129,32.5680661315523,36.9518553704609,21.341296215072,14.4583361777111,6.12683273850962,12.0164873682962,61.8674014616917,816.56244071368,8.63852942501796,29.2071919978274,12,10
8.28635736555389,3.91981985242916,8.33152213742488,32.5681938484996,36.9532450805613,21.3412923242438,14.4581299844209,6.12681404028626,12.0166391792191,61.8688205388846,816.566592752773,8.63834673762163,29.2077999021766,12,10
8.28638070418481,3.9197225927767,8.33089047777264,32.5683083897559,36.9548502501101,21.3412887642836,14.4582566612673,6.12723950664827,12.016775533144,61.8700932195098,816.547135492352,8.63812888920806,29.2083852110066,12,10
