Pdis,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,Tamb,Tset,target
9.48468005612995,-1.90937674859549,37.435878590572,60.0749295371045,18.0973451587659,11.6783617893674,13.5877493094547,7.0030533157497,100.0,10,7,0
8.24461861246375,3.49289789683974,32.3894584210731,41.7835427441066,13.8820804634017,9.95114433279974,6.45825067236655,7.00999951225987,59.8828713452564,20,7,0
8.46372627384632,7.70173970441704,33.320771535063,39.3303233897506,20.1240331443065,14.6157865165535,6.91405553549362,12.0154649221436,70.2307948340332,30,12,0
9.59164515674082,-2.37981324568631,37.8474346141825,61.5999143752349,18.3128996732458,11.7980949924831,14.177923394832,7.0070051787406,100.0,20,7,0
8.0870351158619,-3.01008531358241,31.7080838444857,48.4018074704876,5.80978265721564,3.42456567169569,6.43464949553913,0.0039109680564024,52.3120427165079,20,0,0
8.93216008826021,-7.33855685510048,35.2526884428631,62.4189446398129,9.20759680961856,5.21396303677102,12.5525067751765,-0.0142122942000356,91.6965382540342,30,0,0
8.28466737011776,8.34322869907515,32.5609231243412,36.922636907608,19.3377483587828,14.456228527958,6.11361601777901,12.0205879885857,61.7880347149019,10,12,0
8.08756088054333,-3.01281550946771,31.710375309276,48.4103335597627,5.81134583342487,3.42495503044358,6.43777024620118,0.0030516637235678,52.3375034364,20,0,0
8.40388413071086,7.91887685956306,33.0682246339557,38.5309383476553,19.8652506845675,14.5691014070334,6.6502335813521,12.016585812106,67.4247181550628,20,12,0
8.2838847035918,8.33067442183153,32.5578701543749,36.9471757377275,19.3362192533515,14.48755244286,6.15386473369153,12.0222355224819,61.7541128263882,10,12,0
9.91589874315151,2.38700380518759,39.074299413849,58.1531244491508,24.9859261404133,16.0747499666383,13.6877626542521,12.0365425022988,100.0,30,12,0
8.46216177523722,7.71160911395248,33.3141794677682,39.3049720960486,20.1216148741164,14.618018614413,6.90642013537598,12.0194985806628,70.1575496418684,30,12,0
8.46297995232561,7.70646125933325,33.3176269898572,39.3182164805768,20.1228930643567,14.6168618277785,6.91041024168021,12.0174013663901,70.195855442858,30,12,0
9.91626255867719,2.38400608287685,39.0756606139484,58.1597154876181,24.9853939153311,16.0741664640133,13.6901763226591,12.0350624539007,100.0,20,12,0
7.99002976802174,4.37560804709017,31.2822119746543,38.398580483005,12.6894747679312,9.72085001806965,5.38224684086214,6.98243984239411,47.5801330517142,10,7,0
9.91760321776459,2.37287168869551,39.0806763485552,58.1841116926843,24.9833509805457,16.0719683500892,13.6991104758936,12.0295370451502,100.0,20,12,0
8.40164160778632,7.93247859410752,33.0587250322665,38.4950300497798,19.8613341827796,14.5720780988441,6.63961096898424,12.0220870394862,67.3191670251829,20,12,0
9.06544920620119,-8.30913142406058,35.7884510458019,65.2197209762537,9.6448861493331,5.51233908915901,13.8214490439369,-0.0247520396389405,97.6494560644659,10,0,0
9.59164595508103,-2.37788612248721,37.8474369137899,61.5971267453089,18.3144735628064,11.7991447883525,14.1770476097278,7.00839780407085,100.0,20,7,0
8.46301370657278,7.70624822008477,33.317769213952,39.3187635464554,20.1229451312822,14.6168135859153,6.91057499763747,12.0173142419466,70.1974357105781,30,12,0
8.08732736781418,-3.01153591152342,31.7093574967602,48.4064505496764,5.81071959240546,3.42483546160844,6.43637052585137,0.0034977745851279,52.3261944084462,20,0,0
9.48472138415608,-1.89981013678403,37.4360330086525,60.062411460172,18.1060692533632,11.6838394627279,13.5836681549989,7.01110409290868,100.0,10,7,0
8.46232714529781,7.71057118584793,33.314876299628,39.3076464815899,20.121875796412,14.6177868098786,6.90722607097456,12.0190770249027,70.1652922180889,30,12,0
8.46057907065678,7.72147427623662,33.3075098560632,39.2794461085313,20.119048301638,14.6201831389728,6.89872115410174,12.0234703190607,70.083442845147,30,12,0
8.30621996527759,3.26983275593597,32.6531610227445,42.6175352416033,14.1587671491632,10.0267964667146,6.75696761711731,7.00874859493609,62.8129002527171,30,7,0
9.06504463396924,-8.2993599961415,35.786830489416,65.2011441963407,9.64957501044159,5.51572251328975,13.8150632454033,-0.0191185866817705,97.6314498824005,20,0,0
9.3772640246375,-1.46742649099764,37.0190590697771,58.6259929412369,17.8962579608386,11.5501632256369,13.017600843436,7.00683062506403,100.0,30,7,0
8.28279885432615,8.33404988821979,32.5531843967219,36.9341797268501,19.3346926436623,14.5038869010459,6.16928614466366,12.0220015984798,61.7020488524651,10,12,0
8.30567036069911,3.27351210951133,32.6508123939161,42.6081563329321,14.158000669041,10.0274871458862,6.75397956067229,7.01033934453756,62.7868043768451,30,7,0
8.24387852703301,3.49763664124873,32.3862780632693,41.7711343953706,13.8808652789991,9.95199201949083,6.45436030851869,7.01204043175818,59.847534036326,20,7,0
9.06506104156862,-8.29978323333597,35.7868962227184,65.2019369096748,9.64936075554692,5.51556801000072,13.8153318676506,-0.0193696694742584,97.6321802524265,20,0,0
8.24439371221693,3.49434199304886,32.3884919822369,41.7797676125631,13.8817151383507,9.95140514840631,6.45706761616589,7.01062340932964,59.8721331359659,20,7,0
8.24395681850689,3.49713733668131,32.3866145132234,41.7724448369228,13.880995756056,9.95190388314592,6.45477141039339,7.01182633424679,59.8512723691486,20,7,0
9.06586473157905,-8.31818333646652,35.790115057627,65.2373648277919,9.64095063907695,5.50949564484245,13.8276560568576,-0.0297117043461981,97.667945084744,10,0,0
8.28404712822351,8.32989330381764,32.5584795257045,36.9469761121489,19.3374497691848,14.4988404710473,6.16924008298975,12.0188335408693,61.7608836189384,10,12,0
