Pdis,Psuc,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,CprPower,Density,Tamb,Tset,target
9.1065860882126,2.54820300983684,-3.77425823447925,35.952595608,59.3915052386265,14.0829710767244,8.80279918583642,12.5770573920272,3.99892989520242,99.4732845333336,3773.3973102486,5.66020133212438,10,4,0
9.10658585971502,2.54820321530711,-3.77425607908259,35.9525946965483,59.3914998975334,14.0829710007105,8.80279921602119,12.577055264919,3.99893053687634,99.4732744060918,3773.39639369908,5.66020179038491,10,4,0
9.10658563151583,2.54820342080658,-3.77425392337057,35.9525937862856,59.3914945590444,14.0829709276924,8.80279924809616,12.5770531393918,3.99893118044008,99.4732642920623,3773.39547790308,5.66020224869095,10,4,0
9.10658540361492,2.54820362633442,-3.77425176735227,35.9525928772118,59.3914892231712,14.0829708576605,8.80279928205528,12.5770510154484,3.99893182588511,99.4732541912419,3773.39456286166,5.66020270704065,10,4,0
9.10658517601218,2.54820383188977,-3.77424961103657,35.952591969326,59.3914838899241,14.0829707906059,8.80279931789232,12.5770488930918,3.99893247320318,99.4732441036218,3773.39364857571,5.66020316543219,10,4,0
9.10658494870751,2.54820403747179,-3.77424745443221,35.9525910626282,59.3914785593159,14.082970726519,8.80279935560122,12.5770467723245,3.99893312238589,99.4732340292021,3773.39273504625,5.66020362386377,10,4,0
9.10658472170077,2.54820424307964,-3.77424529754836,35.9525901571177,59.3914732313567,14.0829706653907,8.8027993951759,12.5770446531496,3.99893377342494,99.4732239679744,3773.39182227418,5.66020408233354,10,4,0
9.10658449499186,2.54820444871249,-3.77424314039354,35.952589252794,59.3914679060583,14.0829706072119,8.80279943661014,12.5770425355694,3.99893442631202,99.4732139199332,3773.39091026048,5.66020454083972,10,4,0
9.10658426858067,2.54820465436948,-3.77424098297672,35.9525883496569,59.3914625834313,14.0829705519733,8.80279947989794,12.5770404195869,3.99893508103878,99.4732038850764,3773.38999900607,5.66020499938052,10,4,0
9.10658404246708,2.5482048600498,-3.77423882530667,35.9525874477056,59.3914572634874,14.0829704996658,8.80279952503327,12.5770383052046,3.99893573759692,99.4731938633954,3773.38908851187,5.66020545795413,10,4,0
9.10924494029813,2.45750345706818,-4.73920200526567,35.9631855572612,61.7063048665683,14.0837255177517,8.17590972605666,12.9151117472902,4.00001787312704,99.5909506362352,3802.81383036116,5.46410859730699,10,4,1
9.10924494275718,2.4575034525391,-4.73920205419381,35.9631855670733,61.7063049545219,14.0837254978944,8.17590971010014,12.9151117802505,4.00001784697986,99.5909507452584,3802.81384372647,5.46410858735087,10,4,1
9.10924494521169,2.45750344801574,-4.73920210306022,35.9631855768672,61.7063050423492,14.0837254780488,8.17590969415488,12.9151118131604,4.00001782085764,99.59095085408,3802.81385707104,5.46410857740743,10,4,1
9.10924494766165,2.45750344349808,-4.73920215186507,35.963185586643,61.7063051300505,14.0837254582149,8.17590967822099,12.91511184602,4.00001779476065,99.5909509627002,3802.81387039487,5.46410856747663,10,4,1
9.10924495010708,2.45750343898613,-4.73920220060825,35.9631855964008,61.7063052176263,14.0837254383925,8.17590966229841,12.9151118788292,4.00001776868862,99.5909510711196,3802.8138836981,5.46410855755844,10,4,1
9.10924495254797,2.45750343447988,-4.73920224928997,35.9631856061405,61.7063053050759,14.0837254185818,8.17590964638725,12.9151119115884,4.00001774264143,99.5909511793387,3802.81389698066,5.46410854765288,10,4,1
9.10924495498436,2.45750342997932,-4.73920229791014,35.963185615862,61.7063053923998,14.0837253987826,8.17590963048741,12.9151119442974,4.00001771661925,99.5909512873557,3802.81391024258,5.4641085377599,10,4,1
9.10924495741622,2.45750342548446,-4.73920234646891,35.9631856255658,61.7063054795982,14.0837253789953,8.17590961459894,12.9151119769563,4.00001769062214,99.5909513951751,3802.81392348385,5.46410852787955,10,4,1
9.10924495984357,2.45750342099529,-4.73920239496613,35.9631856352514,61.7063055666712,14.0837253592197,8.17590959872189,12.9151120095651,4.0000176646501,99.5909515027936,3802.81393670454,5.46410851801179,10,4,1
9.10924496226643,2.4575034165118,-4.73920244340195,35.9631856449191,61.7063056536188,14.0837253394557,8.17590958285626,12.9151120421238,4.00001763870301,99.5909516102118,3802.8139499047,5.46410850815661,10,4,1
9.11454278012601,2.7537344793791,-1.68197499879398,35.9842811778444,56.6516874221088,15.6022396936755,10.3163575375888,11.9983325936404,4.0001213439262,99.825346420493,3483.91028463757,6.1020639226078,10,4,2
9.11454280170306,2.75373445030383,-1.6819752864613,35.9842812638449,56.651688013179,15.6022396493668,10.3163574803985,11.9983328240501,4.00012120164621,99.8253473760548,3483.91038124277,6.10206385849324,10,4,2
9.11454282325485,2.75373442126267,-1.68197557379114,35.9842813497448,56.6516886035569,15.6022396051106,10.3163574232755,11.9983330541896,4.00012105953368,99.8253483304981,3483.91047773477,6.10206379445385,10,4,2
9.1145428447814,2.75373439225559,-1.68197586078378,35.9842814355441,56.651689193242,15.6022395609066,10.3163573662199,11.9983332840593,4.00012091758805,99.8253492838229,3483.91057411363,6.10206373048963,10,4,2
9.11454286628274,2.75373436328253,-1.68197614743968,35.9842815212428,56.6516897822359,15.6022395167545,10.3163573092314,11.9983335136596,4.00012077580919,99.8253502360317,3483.91067037956,6.10206366660045,10,4,2
9.11454288775889,2.75373433434346,-1.68197643375925,35.9842816068413,56.6516903705395,15.6022394726546,10.31635725231,11.9983337429907,4.00012063419706,99.825351187125,3483.91076653271,6.10206360278618,10,4,2
