Pdis,Psuc,T0,Tc,Tdis,Tret,Tsuc,Tsh,Tsup,CondFan,CprPower,Density,Cpr,Tamb,Tset
6,2.92803182339495,-66.8562457822183,-66.8562457822183,21.5510217973122,-273.15,0,66.8562457822183,-273.15,0,0,6.61608351884431,0,20,0
6.00456473231367,2.97894163661126,-1.70530256582424e-13,21.5716593574974,21.5747763018286,-100.45220044163,0.00448185843657711,1.70530256582424e-13,-99.1303758456062,0,0,6.73174947613744,0,20,0
6.00896441740459,3.03800579648537,0.476708386785674,21.5965522281761,21.5976719137028,-36.849608418261,0.0102784707330557,-0.472226528349097,-31.3593810354088,0,0,6.86596129580985,0,20,0
6.01340281718944,3.08110947297316,1.02198567103261,21.6205315086731,21.6207689937702,-13.4409137608964,0.0168393954094768,-1.01170720029955,-5.59807193406846,0,0,6.96389365350971,0,20,0
6.01778960938148,3.11358011960528,1.41479593159079,21.6447083465534,21.6435975120224,-4.82338570496256,0.0239398993447821,-1.39795653618131,3.50629711004751,0,0,7.03764853298995,0,20,0
6.02208470468207,3.13874527275331,1.70792679621189,21.6685908142556,21.6659488469322,-1.63607227800486,0.0314527498006214,-1.68398689686711,6.31203361105622,0,0,7.09478785869093,0,20,0
6.02627588735544,3.1584911651566,1.93349602550239,21.6919613187353,21.6877594287807,-0.457691810054428,0.0393015061755477,-1.90204327570177,6.80098314408048,0,0,7.13959897934332,0,20,0
6.03036287064785,3.1740402313074,2.109519026138,21.714754267962,21.7090277653243,0.0041212958422534,0.0474333815310501,-2.07021751996245,6.5168722666067,0,0,7.17486105629338,0,20,0
6.03435007045615,3.18623394037204,2.24753613024012,21.7369690102444,21.7297768365394,0.201457463761813,0.0558109746961577,-2.20010274870907,6.00384609834657,0,0,7.20248751614251,0,20,0
6.03824247260841,3.19564824727931,2.35540764106349,21.7586304146162,21.7500325882795,0.295457995995037,0.0644089239210075,-2.29959666636734,5.45252387066125,0,0,7.2237882213592,0,20,0
6.04204629130934,3.20282610564053,2.43847463543011,21.7797663731851,21.7698273587725,0.358213999512827,0.0732036214229765,-2.3740657115091,4.94208643093725,0,0,7.23999830721208,0,20,0
6.04576718732122,3.20815404868211,2.50168225214878,21.8004113697914,21.7891906061758,0.40965133167532,0.082177988322826,-2.42847863072581,4.48779034803721,0,0,7.25199719116105,0,20,0
6.0494104882654,3.2119468616376,2.54852940586017,21.8205968039744,21.808150055008,0.45693014117893,0.091318225771488,-2.46635141753734,4.08982513523119,0,0,7.26050114917783,0,20,0
6.052981208157,3.2144648581953,2.581842208995,21.8403521959733,21.8267317978055,0.502624591011397,0.100612978221307,-2.49052398322351,3.74343470553003,0,0,7.26610257488273,0,20,0
6.05648402249124,3.21592426980002,2.60394145235193,21.8597052999156,21.8449601654742,0.547643683095259,0.110052925739865,-2.50332847413063,3.4426857692718,0,0,7.26929358556681,0,20,0
6.05992298007807,3.21649458587475,2.61674392461845,21.8786819755047,21.8628562276998,0.592306665784861,0.119630875789539,-2.50669099887858,3.1822033313781,0,0,7.27045994855134,0,20,0
6.06330202081525,3.21632694369109,2.62174572635894,21.8973046343744,21.8804404873972,0.636740479745185,0.12934053686314,-2.5021148505694,2.95684473601113,0,0,7.26994567231348,0,20,0
6.06662479375021,3.21554891362982,2.62027553689495,21.9155950515388,21.8977319339195,0.680984852686151,0.139176732063731,-2.49093500003181,2.76206533379798,0,0,7.2680411316578,0,20,0
6.06989468653062,3.21426870842897,2.61345159414788,21.9335733842423,21.9147481963163,0.725050959055693,0.149135211424039,-2.47427486208414,2.59389918604859,0,0,7.26499264189408,0,20,0
6.07311482667367,3.21257840522417,2.60222041753121,21.9512583360776,21.9315055499387,0.768940898513847,0.159212502064577,-2.45308520610718,2.44890227726285,0,0,7.26100978884221,0,20,0
6.07628810149724,3.21055677970438,2.58738621176349,21.9686671681318,21.9480190201597,0.812654125603501,0.169405787814355,-2.42817370969891,2.32408938950908,0,0,7.25627187734537,0,20,0
6.07941718685873,3.20827135757849,2.56963643266096,21.9858158107164,21.9643025319287,0.856189538719377,0.179712812333889,-2.4002306448466,2.21687387047081,0,0,7.25093259974243,0,20,0
6.08250456145666,3.20578018035335,2.54956019904108,22.0027190222102,21.9803689841959,0.899546130322676,0.190131798187167,-2.36984738670719,2.12501318145507,0,0,7.24512405467895,0,20,0
6.08555252299112,3.2031331276486,2.52766400854074,22.0193904694236,21.9962303340105,0.942723163043183,0.200661378742723,-2.33753221035357,2.04656207092319,0,0,7.23895975720962,0,20,0
6.08876187795372,3.20037026686326,2.50438343648227,22.0358428176669,22.0129315624101,0.985739863661422,0.211300746989536,-2.30372205773955,1.97994255798659,0,0,7.23253088496462,0,20,0
6.09213976160544,3.19753217465886,2.48006858933223,22.0531596080119,22.0305098007266,1.0285752706302,0.222049087400649,-2.2687678423427,1.92354455314046,0,0,7.2259297631883,0,20,0
6.09548488589349,3.19465047880501,2.4550748796355,22.0713782819172,22.0479175619158,1.0712187818209,0.232905802471123,-2.23302579223486,1.87609853658131,0,0,7.21922835059568,0,20,0
6.09880193664854,3.1917521580523,2.42967974617767,22.0894127445167,22.0651792306682,1.11367809509409,0.243870666743021,-2.19677394370655,1.83650866510567,0,0,7.21248801895495,0,20,0
6.10209226387134,3.18886044832246,2.4041203635806,22.1072884699009,22.0823018322807,1.15595643038074,0.254943637823942,-2.16024969683758,1.80382003773093,0,0,7.20576161796741,0,20,0
